"date","Mkt-RF","RMW","dDP","dTS","UNEXPI","RF"
"201004",2,1.1,-0.237443458892838,0.310555215313191,0.174927422286293,0.0133235655389807
"201005",-7.89,1.37,0.0839684698317351,-0.144851683432177,0.24595639000228,0.0133235655389807
"201006",-5.56,-0.21,0.018595951326168,-0.318627430691726,0.355501261247679,0.00999450421297343
"201007",6.93,0.24,0.0959253371256591,-0.0367827761843439,0.0895223235799129,0.0133235655389807
"201008",-4.77,0.72,-0.0484688249528892,-0.00220857502890261,0.288810975656119,0.0133235655389807
"201009",9.54,-0.21,0.100772669541847,0.12702727801428,-0.274585844964386,0.0124914144766786
"201010",3.88,1.3,0.073095680317481,0.0447858675090035,-0.691454750815122,0.0108268838282743
"201011",0.6,0.24,0.0720304996433545,0.0622961273761688,0.490616454035815,0.0116591872446392
"201012",6.82,-3.65,-0.0146857426548695,0.129384576862597,-0.304108832176551,0.0116591872446392
"201101",1.99,-0.89,-0.127800415569717,0.567400820827795,-0.0165948040047298,0.0124914144766786
"201102",3.49,-1.93,0.0991982112680789,0.357654167094344,0.117515215907362,0.0108268838282743
"201103",0.45,1.64,0.0390393430923101,0.0920030479227832,-0.174539389283575,0.00832951632732115
"201104",2.9,1.09,0.0658610052593744,-0.0716009894986381,0.0684162575884669,0.00499862552685304
"201105",-1.27,2.02,-0.00147666995604302,0.0727006343843461,0.570906245254954,0.00333272237835747
"201106",-1.75,2.38,-0.00135080078178058,0.0268493602094135,0.18154471573905,0.00333272237835747
"201107",-2.36,2.43,0.0356132163886071,0.0959058905519057,-0.0601568535248069,0.00333272237835747
"201108",-5.99,3.2,0.0324764633408784,-0.122615719063377,-0.160876473904232,0.00166651390840489
"201109",-7.59,1.85,-0.0231535090920729,0.00963326114844537,0.270134502194663,0.000833295141333679
"201110",11.35,-1.87,0.0858830540408397,-0.198350774672789,0.600710304815395,0.00166651390840489
"201111",-0.28,1.79,-0.0289022344640405,0.103542866470269,0.475172430307785,0.000833295141333679
"201112",0.74,0.8,0.0943867899594914,0.286751490257386,0.19236029771152,0.000833295141333679
"201201",5.05,-1.81,0.0690300562610647,0.17710993767705,-1.15948198536269,0.00249965631586857
"201202",4.42,-0.19,-0.00779665257016226,0.436841843515089,-0.172996446135412,0.00749690802774872
"201203",3.11,-0.33,-0.121227694564311,0.0660815156805293,-0.311755475134754,0.00666422347088691
"201204",-0.85,1.12,-0.00328467929697872,0.204661227589118,-0.131597850965015,0.00666422347088691
"201205",-6.19,2.28,-0.0734710989424448,-0.103580137580713,0.242955529366086,0.00749690802774872
"201206",3.89,-1.24,0.0449400625672055,0.0112833407799705,0.0462171260887257,0.00749690802774872
"201207",0.79,1.11,0.051727364376823,-0.050149223048809,0.157378554663562,0.00832951632732115
"201208",2.55,-1.26,-0.0130939078902644,-0.0368304211264593,-0.111219604440742,0.00832951632732115
"201209",2.73,-1.38,0.0249035739884457,0.216534906282127,-0.108427972280054,0.00916204838419254
"201210",-1.76,-1.39,-0.0656237401188612,0.174401966094217,0.0811630859721923,0.00832951632732115
"201211",0.78,0.68,0.0348494830522144,-0.0987566581836255,-0.119916617881239,0.00749690802774872
"201212",1.18,-1.98,-0.0632898976759018,-0.0107984804066587,0.127322260688915,0.0058314626421252
"201301",5.57,-1.64,-0.129725046349526,0.181354421382298,-0.0441693355946514,0.0058314626421252
"201302",1.29,-0.69,-0.0810024530746316,0.16728383977161,0.073959521690916,0.00832951632732115
"201303",4.03,0.17,0.0155670090555098,-0.0686174829245056,-0.0634650921603902,0.00749690802774872
"201304",1.55,0.07,0.00459649531344407,-0.167795207599808,0.00560086640974079,0.00499862552685304
"201305",2.8,-1.66,-0.0712949113613627,-0.0886379471502862,0.161924133658189,0.00333272237835747
"201306",-1.2,-0.44,0.00593597565358458,0.235960899839212,0.360578639588344,0.00416571211045991
"201307",5.65,-1.46,0.123451067172274,0.134462029725969,-0.562538177912583,0.00333272237835747
"201308",-2.71,0.62,-0.0667203804294024,0.00693743771934504,-0.503392063080866,0.00333272237835747
"201309",3.77,-0.73,-0.0146741411931886,-0.0101822336987051,0.0362330714197076,0.00166651390840489
"201310",4.18,2.7,0.0290678977260541,-0.0609019009940505,-0.391885093435497,0.00416571211045991
"201311",3.12,0.14,-0.0061819455674903,0.0988267726587257,-0.184322604239318,0.0058314626421252
"201312",2.81,-0.52,0.0027638683280541,0.0926209124682614,0.0299768435537384,0.0058314626421252
"201401",-3.32,-3.99,-0.00827288745046588,0.416370842048777,-0.180456109675226,0.00333272237835747
"201402",4.65,-0.26,-0.0769125429148369,0.125483073933265,-0.262987579995017,0.00416571211045991
"201403",0.43,2.16,0.0824812107162567,0.0599938516859201,-0.00852012831931567,0.00416571211045991
"201404",-0.19,3.48,0.0241611842354196,-0.263282548888956,-0.148385633159447,0.00249965631586857
"201405",2.06,0.1,0.0759495036725641,0.0185575105417205,-0.244071956439802,0.00249965631586857
"201406",2.61,-1.97,-0.0183471662744484,0.0400264562645131,0.0135863255362449,0.00333272237835747
"201407",-2.04,0.94,-0.0824413391414903,0.0504002081044764,-0.374680143983545,0.00249965631586857
"201408",4.24,-0.63,-0.0316073976657063,0.0060436521250503,0.149830604135708,0.00249965631586857
"201409",-1.97,1.13,-0.0152455241421985,-0.0114144875098351,-0.241441757084855,0.00166651390840489
"201410",2.52,-0.47,0.0104979511304501,0.114593407406838,0.198841840918864,0.00166651390840489
"201411",2.55,1.4,0.0420443716637478,-0.117485245030983,-0.331644060856647,0.00166651390840489
"201412",-0.06,-1.16,-0.00354749935093303,0.201900392669883,0.170019129241348,0.00249965631586857
"201501",-3.11,1.67,0.00827024251705499,0.270085738252466,0.131492019717686,0.00249965631586857
"201502",6.13,-1.07,0.0507416668813222,0.00131258361085274,-0.380756782878588,0.00166651390840489
"201503",-1.12,0.1,-0.0327676336506902,0.0984808638212884,0.442815858702039,0.00249965631586857
"201504",0.59,-0.15,-0.109733842410426,-0.110444295139083,-0.0274682481512787,0.00166651390840489
"201505",1.36,-1.72,0.0407411425053185,0.20288652003132,-0.12009348684378,0.00166651390840489
"201506",-1.53,0.5,-0.112263960447172,0.0541997611346118,-0.160106831749499,0.00166651390840489
"201507",1.54,0.04,-0.09826590193589,-0.436254323113478,0.689833339578209,0.00249965631586857
"201508",-6.04,0.76,0.121510684072895,0.535851591967705,0.125401076999278,0.0058314626421252
"201509",-3.08,1.81,-0.1121485715299,-0.0623409297811007,0.740947242846333,0.00166651390840489
"201510",7.75,0.82,0.0533196198236498,-0.18352378009556,-0.273012521761069,0.00166651390840489
"201511",0.56,-2.57,-0.156754011370549,-0.16583858698129,0.822286836722722,0.00999450421297343
"201512",-2.17,0.31,-0.0851026233314538,-0.0102274443795355,0.312772160837636,0.0191464914457651
"201601",-5.77,2.6,0.00506558531446479,-0.22525413818349,0.398434773135688,0.0216408900300502
"201602",-0.07,3.29,0.164128022426492,-0.129666910212859,-0.587084958233592,0.0257967010043103
"201603",6.96,0.81,0.0722160445726873,0.162790208087945,-0.739558237493954,0.0241346045273705
"201604",0.92,-2.89,-0.0374505654103016,0.541314594920837,-0.858335502786974,0.0191464914457651
"201605",1.78,-1.02,0.0767459327495668,0.0338383228891706,0.261227680672274,0.022472204186097
"201606",-0.05,1.19,-0.189790814656063,-0.0631448099291108,-0.029420801510062,0.022472204186097
"201607",3.95,1.33,0.0692663178648901,0.259299519335884,-0.104787426086785,0.0249656907416185
"201608",0.5,-1.33,0.00909668629843777,0.119360896735924,-0.276602825305044,0.0249656907416185
"201609",0.25,-2.29,-0.115879948617914,0.119679196393884,0.186217121738427,0.0241346045273705
"201610",-2.02,1.19,-0.0547399432836403,-0.0535099876983215,-0.154602213277443,0.0274584937330236
"201611",4.86,-0.1,0.0585119644243268,0.245182635253002,0.111758711540858,0.0374228778862173
"201612",1.81,0.99,-0.156806726022423,-0.118737788835316,-0.197786041334607,0.0424009787461044
"201701",1.94,-0.01,-0.0077345356742049,0.0542238024365706,-0.172682398222161,0.0424009787461044
"201702",3.57,0.78,-0.0916525666854094,0.00195424992017789,0.389493282191124,0.0432303973715964
"201703",0.17,0.68,-0.0969485338552031,0.0117887593824222,0.336757920241127,0.0614584974119259
